id,topic,date,qNum,qStatement,a1,a2,a3,a4,a5,ans,Year,Month,Monthind,,,,,,,,,,,,,,,
Jun.2018.58,HW for Class on 02.02,June.2018,58,,,,,,,F (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2018.58,HW for Class on 02.02,December.2018,58,,,,,,,K (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Jun.2021.59,HW for Class on 02.02,June.2021,59,,,,,,,A (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2016.59,HW for Class on 02.02,December.2016,59,,,,,,,A (Topic: Statistics),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr.2021.D05.07,HW for Class on 02.09,April.2021.D05,7,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2022.18,HW for Class on 02.09,December.2022,18,,,,,,,K (Topic: Vocab),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.31,HW for Class on 02.09,April.2021.Z04,31,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Jun.2021.31,HW for Class on 02.09,June.2021,31,,,,,,,C (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2019.B04.33,HW for Class on 02.09,April.2019.B04,33,,,,,,,A (Topic: Vocab),,,,,,,,,,,,,,,,,,
June.2022.36,HW for Class on 02.09,June.2022,36,,,,,,,K (Topic: Vocab),,,,,,,,,,,,,,,,,,
June.2020.40,HW for Class on 02.09,June.2020,40,,,,,,,K (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Jun.2018.41,HW for Class on 02.09,June.2018,41,,,,,,,E (Topic: Vocab),,,,,,,,,,,,,,,,,,
Jun.2019.47,HW for Class on 02.09,June.2019,47,,,,,,,B (Topic: Sequences),,,,,,,,,,,,,,,,,,
July.2020.49,HW for Class on 02.09,July.2020,49,,,,,,,D (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2017.49,HW for Class on 02.09,December.2017,49,,,,,,,B (Topic: Trig),,,,,,,,,,,,,,,,,,
Dec.2018.51,HW for Class on 02.09,December.2018,51,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Jun.2021.53,HW for Class on 02.09,June.2021,53,,,,,,,D (Topic: Trig),,,,,,,,,,,,,,,,,,
Jun.2019.53,HW for Class on 02.09,June.2019,53,,,,,,,A (Topic: Trig),,,,,,,,,,,,,,,,,,
Dec.2022.53,HW for Class on 02.09,December.2022,53,,,,,,,D (Topic: Plug in Numbers (Calc)),,,,,,,,,,,,,,,,,,
Apr.2015.53,HW for Class on 02.09,April.2015,53,"53. Suppose that equally spaced dots are marked on each side of a regular polygon, with a dot at each vertex, and that the distance between consecutive dots is the same for all sides. The figure below shows 4 equally spaced dots per side, including a dot at each vertex, for an equilateral triangle. Which of the following expressions represents the number of dots for a regular polygon with n equally spaced dots including one at each vertex, marked on each of its s sides?",ns,ns - 1,ns - s,ns + s,ns – n,C (Topic: Plug in Numbers (Calc)),,,,,,,,,,,,,,,,,,
July.2020.56,HW for Class on 02.09,July.2020,56,,,,,,,J (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2018.56,HW for Class on 02.09,December.2018,56,,,,,,,J (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Apr.2015.56,HW for Class on 02.09,April.2015,56,,,,,,,H (Topic: Plug in Numbers (Calc)),,,,,,,,,,,,,,,,,,
Dec.2019.57,HW for Class on 02.09,December.2019,57,,,,,,,C (Topic: Sequences),,,,,,,,,,,,,,,,,,
Dec.2018.58,HW for Class on 02.09,December.2018,58,,,,,,,K (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2022.59,HW for Class on 02.09,December.2022,59,,,,,,,C (Topic: Plug in Numbers (Calc)),,,,,,,,,,,,,,,,,,
Jun.2021.60,HW for Class on 02.09,June.2021,60,,,,,,,J (Topic: Vocab),,,,,,,,,,,,,,,,,,
July.2020.60,HW for Class on 02.09,July.2020,60,,,,,,,K (Topic: Trig),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun.2021.11,HW for Class on 06.23,June.2021,11,,,,,,,A (Topic: System of Equations),,,,,,,,,,,,,,,,,,
Dec.2018.11,HW for Class on 06.23,December.2018,11,,,,,,,B (Topic: LCMGCF),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.12,HW for Class on 06.23,April.2021.Z04,12,,,,,,,G (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Apr.2018.13,HW for Class on 06.23,April.2018,13,,,,,,,B (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Jun.2018.13,HW for Class on 06.23,June.2018,13,,,,,,,C (Topic: Quadratics (and above)),,,,,,,,,,,,,,,,,,
Dec.2015.17,HW for Class on 06.23,December.2015,17,,,,,,,D (Topic: System of Equations),,,,,,,,,,,,,,,,,,
Jun.2021.23,HW for Class on 06.23,June.2021,23,,,,,,,D (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2018.23,HW for Class on 06.23,April.2018,23,,,,,,,A (Topic: System of Equations),,,,,,,,,,,,,,,,,,
Apr.2015.24,HW for Class on 06.23,April.2015,24,,,,,,,K (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2018.26,HW for Class on 06.23,April.2018,26,,,,,,,H (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2021.D05.27,HW for Class on 06.23,April.2021.D05,27,,,,,,,E (Topic: Quadratics (and above)),,,,,,,,,,,,,,,,,,
Dec.2018.29,HW for Class on 06.23,December.2018,29,,,,,,,C (Topic: Imaginary Numbers),,,,,,,,,,,,,,,F,2022,Apr,4
Apr.2017.35,HW for Class on 06.23,April.2017,35,,,,,,,C (Topic: Perimeter-Area-Volume),,,,,,,,,,,,,,,,,,
Apr.2019.B04.43,HW for Class on 06.23,April.2019.B04,43,,,,,,,E (Topic: Perimeter-Area-Volume),,,,,,,,,,,,,,,,,,
Apr.2016.45,HW for Class on 06.23,April.2016,45,,,,,,,A (Topic: LCMGCF),,,,,,,,,,,,,,,,,,
Apr.2019.Z15.47,HW for Class on 06.23,April.2019.Z15,47,,,,,,,D (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Dec.2015.47,HW for Class on 06.23,December.2015,47,,,,,,,B (Topic: Lines),,,,,,,,,,,,,,,,,,
Jun.2017.47,HW for Class on 06.23,June.2017,47,,,,,,,E (Topic: LCMGCF),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.48,HW for Class on 06.23,April.2021.Z04,48,,,,,,,G (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Dec.2019.49,HW for Class on 06.23,December.2019,49,,,,,,,A (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2017.50,HW for Class on 06.23,April.2017,50,,,,,,,J (Topic: System of Equations),,,,,,,,,,,,,,,,,,
Apr.2017.53,HW for Class on 06.23,April.2017,53,,,,,,,A (Topic: Sequences),,,,,,,,,,,,,,,,,,
Dec.2021.55,HW for Class on 06.23,December.2021,55,,,,,,,A (Topic: Perimeter-Area-Volume),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.55,HW for Class on 06.23,April.2021.Z04,55,,,,,,,B (Topic: Imaginary Numbers),,,,,,,,,,,,,,,,,,
Jun.2021.56,HW for Class on 06.23,June.2021,56,,,,,,,J (Topic: Quadratics (and above)),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec.2016.04,HW for Class on 06.30,December.2016,4,,,,,,,J (Topic: Statistics),,,,,,,,,,,,,,,,,,
Dec.2022.18,HW for Class on 06.30,December.2022,18,,,,,,,K (Topic: Vocab),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.26,HW for Class on 06.30,April.2021.Z04,26,,,,,,,G (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Apr.2019.B04.27,HW for Class on 06.30,April.2019.B04,27,,,,,,,A (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Apr.2019.Z15.34,HW for Class on 06.30,April.2019.Z15,34,,,,,,,G (Topic: Statistics),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.38,HW for Class on 06.30,April.2021.Z04,38,,,,,,,F (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2018.39,HW for Class on 06.30,December.2018,39,,,,,,,E (Topic: Statistics),,,,,,,,,,,,,,,,,,
Apr.2017.41,HW for Class on 06.30,April.2017,41,,,,,,,A (Topic: Data Interpretation),,,,,,,,,,,,,,,,,,
Jun.2015.41,HW for Class on 06.30,June.2015,41,,,,,,,D (Topic: Data Interpretation),,,,,,,,,,,,,,,,,,
Dec.2022.44,HW for Class on 06.30,December.2022,44,,,,,,,G (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Apr.2019.Z15.45,HW for Class on 06.30,April.2019.Z15,45,,,,,,,A (Topic: Data Interpretation),,,,,,,,,,,,,,,,,,
Jun.2017.47,HW for Class on 06.30,June.2017,49,,,,,,,D (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
July.2020.52,HW for Class on 06.30,July.2020,52,,,,,,,J (Topic: Statistics),,,,,,,,,,,,,,,,,,
Apr.2018.52,HW for Class on 06.30,April.2018,52,,,,,,,J (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2017.54,HW for Class on 06.30,December.2017,54,,,,,,,J (Topic: Statistics),,,,,,,,,,,,,,,,,,
Apr.2019.Z15.57,HW for Class on 06.30,April.2019.Z15,57,,,,,,,D (Topic: Statistics),,,,,,,,,,,,,,,,,,
Jun.2018.58,HW for Class on 06.30,June.2018,58,,,,,,,F (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2016.59,HW for Class on 06.30,December.2016,59,,,,,,,A (Topic: Statistics),,,,,,,,,,,,,,,,,,
Jun.2021.60,HW for Class on 06.30,June.2021,60,,,,,,,J (Topic: Vocab),,,,,,,,,,,,,,,,,,
June.2022.36,HW for Class on 06.30,June.2022,60,,,,,,,K (Topic: Vocab),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr.2021.Z04.08,HW for Class on 07.07,April.2021.Z04,8,,,,,,,H (Topic: D=RT),,,,,,,,,,,,,,,,,,
Dec.2018.13,HW for Class on 07.07,December.2018,13,,,,,,,A (Topic: Percents-Fractions),,,,,,,,,,,,,,,,,,
Dec.2016.17,HW for Class on 07.07,December.2016,17,"17. The first 5 terms of a sequence are given in the table below. The sequence is defined by setting a1 = 9 and an = an-1 + (n - 1) for n ≥ 2. What is the sixth term, a6 , of this sequence?",64,76,78,95,,B (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2021.D05.18,HW for Class on 07.07,April.2021.D05,18,,,,,,,H (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Jun.2021.30,HW for Class on 07.07,June.2021,30,,,,,,,J (Topic: Percents-Fractions),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.31,HW for Class on 07.07,April.2021.Z04,31,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Apr.2021.D05.32,HW for Class on 07.07,April.2021.D05,32,,,,,,,J (Topic: Imaginary Numbers),,,,,,,,,,,,,,,,,,
Apr.2019.B04.33,HW for Class on 07.07,April.2019.B04,33,,,,,,,A (Topic: Vocab),,,,,,,,,,,,,,,,,,
Apr.2017.38,HW for Class on 07.07,April.2017,38,"38) Which of the following expressions, when evaluated, equals an irrational number?",G. (rad)8/(rad)2,H.  ((rad)8)2,J. (rad)2 x (rad)8,K. (rad)2 +(rad)8,,K (Topic: Vocab),,,,,,,,,,,,,,,,,,
Jun.2016.41,HW for Class on 07.07,June.2016,41,41) Which of the following is the decimal equivalent to 2/7? (Note: A bar indicates a digit pattern that is repeated.),0.(bar)285714,0.28571428,0.285714(bar)28,0.285714286,0.285714(bar)2857,A (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2019.45,HW for Class on 07.07,December.2019,45,,,,,,,D (Topic: D=RT),,,,,,,,,,,,,,,,,,
Jun.2019.47,HW for Class on 07.07,June.2019,47,,,,,,,B (Topic: Sequences),,,,,,,,,,,,,,,,,,
Dec.2016.50,HW for Class on 07.07,December.2016,50,"50) The fraction 2/7 is equivalent to 0.. What is the digit in the 1,001st decimal place of 0.? (Note: The digit in the 4th decimal place of 0.  is 4.)",G. 2,H. 4,J. 5,K. 7,,F (Topic: Sequences),,,,,,,,,,,,,,,,,,
Dec.2015.50,HW for Class on 07.07,December.2015,50,"50) Let a be a prime number greater than 10,000 and let x = (rad)a.  Which of the following expressions represents a rational number?",G. (rad)x,H. 2x,J. x2,K. x + 2,,J (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2021.51,HW for Class on 07.07,December.2021,51,,,,,,,D (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.51,HW for Class on 07.07,April.2021.Z04,51,,,,,,,D (Topic: Percents-Fractions),,,,,,,,,,,,,,,,,,
Dec.2018.51,HW for Class on 07.07,December.2018,51,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2022.52,HW for Class on 07.07,December.2022,52,,,,,,,F (Topic: Transformations-Translations),,,,,,,,,,,,,,,,,,
Apr.2021.D05.53,HW for Class on 07.07,April.2021.D05,53,,,,,,,C (Topic: D=RT),,,,,,,,,,,,,,,,,,
June.2020.53,HW for Class on 07.07,June.2020,53,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Apr.2021.D05.57,HW for Class on 07.07,April.2021.D05,57,,,,,,,A (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Dec.2019.57,HW for Class on 07.07,December.2019,57,,,,,,,C (Topic: Sequences),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun.2021.11,HW for Class on 07.06,June.2021,11,,,,,,,A (Topic: System of Equations),,,,,,,,,,,,,,,,,,
Dec.2018.11,HW for Class on 07.06,December.2018,11,,,,,,,B (Topic: LCMGCF),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.12,HW for Class on 07.06,April.2021.Z04,12,,,,,,,G (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Apr.2018.13,HW for Class on 07.06,April.2018,13,,,,,,,B (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Jun.2018.13,HW for Class on 07.06,June.2018,13,,,,,,,C (Topic: Quadratics (and above)),,,,,,,,,,,,,,,,,,
Dec.2015.17,HW for Class on 07.06,December.2015,17,,,,,,,D (Topic: System of Equations),,,,,,,,,,,,,,,,,,
Jun.2021.23,HW for Class on 07.06,June.2021,23,,,,,,,D (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2018.23,HW for Class on 07.06,April.2018,23,,,,,,,A (Topic: System of Equations),,,,,,,,,,,,,,,,,,
Apr.2015.24,HW for Class on 07.06,April.2015,24,,,,,,,K (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2018.26,HW for Class on 07.06,April.2018,26,,,,,,,H (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2021.D05.27,HW for Class on 07.06,April.2021.D05,27,,,,,,,E (Topic: Quadratics (and above)),,,,,,,,,,,,,,,,,,
Dec.2018.29,HW for Class on 07.06,December.2018,29,,,,,,,C (Topic: Imaginary Numbers),,,,,,,,,,,,,,,,,,
Apr.2017.35,HW for Class on 07.06,April.2017,35,,,,,,,C (Topic: Perimeter-Area-Volume),,,,,,,,,,,,,,,,,,
Apr.2019.B04.43,HW for Class on 07.06,April.2019.B04,43,,,,,,,E (Topic: Perimeter-Area-Volume),,,,,,,,,,,,,,,,,,
Apr.2016.45,HW for Class on 07.06,April.2016,45,,,,,,,A (Topic: LCMGCF),,,,,,,,,,,,,,,,,,
Apr.2019.Z15.47,HW for Class on 07.06,April.2019.Z15,47,,,,,,,D (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Dec.2015.47,HW for Class on 07.06,December.2015,47,,,,,,,B (Topic: Lines),,,,,,,,,,,,,,,,,,
Jun.2017.47,HW for Class on 07.06,June.2017,47,,,,,,,E (Topic: LCMGCF),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.48,HW for Class on 07.06,April.2021.Z04,48,,,,,,,G (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Dec.2019.49,HW for Class on 07.06,December.2019,49,,,,,,,A (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2017.50,HW for Class on 07.06,April.2017,50,,,,,,,J (Topic: System of Equations),,,,,,,,,,,,,,,,,,
Apr.2017.53,HW for Class on 07.06,April.2017,53,,,,,,,A (Topic: Sequences),,,,,,,,,,,,,,,,,,
Dec.2021.55,HW for Class on 07.06,December.2021,55,,,,,,,A (Topic: Perimeter-Area-Volume),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.55,HW for Class on 07.06,April.2021.Z04,55,,,,,,,B (Topic: Imaginary Numbers),,,,,,,,,,,,,,,,,,
Jun.2021.56,HW for Class on 07.06,June.2021,56,,,,,,,J (Topic: Quadratics (and above)),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr.2021.Z04.08,HW for Class on 07.13,April.2021.Z04,8,,,,,,,H (Topic: D=RT),,,,,,,,,,,,,,,,,,
Dec.2018.13,HW for Class on 07.13,December.2018,13,,,,,,,A (Topic: Percents-Fractions),,,,,,,,,,,,,,,,,,
Dec.2016.17,HW for Class on 07.13,December.2016,17,"17. The first 5 terms of a sequence are given in the table below. The sequence is defined by setting a1 = 9 and an = an-1 + (n - 1) for n ≥ 2. What is the sixth term, a6 , of this sequence?",64,76,78,95,,B (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2021.D05.18,HW for Class on 07.13,April.2021.D05,18,,,,,,,H (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Jun.2021.30,HW for Class on 07.13,June.2021,30,,,,,,,J (Topic: Percents-Fractions),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.31,HW for Class on 07.13,April.2021.Z04,31,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Apr.2021.D05.32,HW for Class on 07.13,April.2021.D05,32,,,,,,,J (Topic: Imaginary Numbers),,,,,,,,,,,,,,,,,,
Apr.2019.B04.33,HW for Class on 07.13,April.2019.B04,33,,,,,,,A (Topic: Vocab),,,,,,,,,,,,,,,,,,
Apr.2017.38,HW for Class on 07.13,April.2017,38,"38) Which of the following expressions, when evaluated, equals an irrational number?",G. (rad)8/(rad)2,H.  ((rad)8)2,J. (rad)2 x (rad)8,K. (rad)2 +(rad)8,,K (Topic: Vocab),,,,,,,,,,,,,,,,,,
Jun.2016.41,HW for Class on 07.13,June.2016,41,41) Which of the following is the decimal equivalent to 2/7? (Note: A bar indicates a digit pattern that is repeated.),0.(bar)285714,0.28571428,0.285714(bar)28,0.285714286,0.285714(bar)2857,A (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2019.45,HW for Class on 07.13,December.2019,45,,,,,,,D (Topic: D=RT),,,,,,,,,,,,,,,,,,
Jun.2019.47,HW for Class on 07.13,June.2019,47,,,,,,,B (Topic: Sequences),,,,,,,,,,,,,,,,,,
Dec.2016.50,HW for Class on 07.13,December.2016,50,"50) The fraction 2/7 is equivalent to 0.. What is the digit in the 1,001st decimal place of 0.? (Note: The digit in the 4th decimal place of 0.  is 4.)",G. 2,H. 4,J. 5,K. 7,,F (Topic: Sequences),,,,,,,,,,,,,,,,,,
Dec.2015.50,HW for Class on 07.13,December.2015,50,"50) Let a be a prime number greater than 10,000 and let x = (rad)a.  Which of the following expressions represents a rational number?",G. (rad)x,H. 2x,J. x2,K. x + 2,,J (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2021.51,HW for Class on 07.13,December.2021,51,,,,,,,D (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.51,HW for Class on 07.13,April.2021.Z04,51,,,,,,,D (Topic: Percents-Fractions),,,,,,,,,,,,,,,,,,
Dec.2018.51,HW for Class on 07.13,December.2018,51,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2022.52,HW for Class on 07.13,December.2022,52,,,,,,,F (Topic: Transformations-Translations),,,,,,,,,,,,,,,,,,
Apr.2021.D05.53,HW for Class on 07.13,April.2021.D05,53,,,,,,,C (Topic: D=RT),,,,,,,,,,,,,,,,,,
June.2020.53,HW for Class on 07.13,June.2020,53,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Apr.2021.D05.57,HW for Class on 07.13,April.2021.D05,57,,,,,,,A (Topic: Coordinate Geometry),,,,,,,,,,,,,,,,,,
Dec.2019.57,HW for Class on 07.13,December.2019,57,,,,,,,C (Topic: Sequences),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June.2020.01,PRACTICE USING CALCULATOR HW,June.2020,1,,,,,,,B (prgm: LCMGCF),,,,,,,,,,,,,,,,,,
Jun.2021.07,PRACTICE USING CALCULATOR HW,June.2021,7,,,,,,,C (prgm: ARITH),,,,,,,,,,,,,,,,,,
Jun.2021.11,PRACTICE USING CALCULATOR HW,June.2021,11,,,,,,,A (prgm: SYSTEMEQ),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.12,PRACTICE USING CALCULATOR HW,April.2021.Z04,12,,,,,,,G (prgm: ENDPOINT),,,,,,,,,,,,,,,,,,
Jun.2018.13,PRACTICE USING CALCULATOR HW,June.2018,13,,,,,,,C (prgm: QUADRAT),,,,,,,,,,,,,,,,,,
Dec.2019.15,PRACTICE USING CALCULATOR HW,December.2019,15,,,,,,,B (prgm: LCMGCF),,,,,,,,,,,,,,,,,,
Dec.2022.15,PRACTICE USING CALCULATOR HW,December.2022,15,,,,,,,"C (plug into calculator, compare decimal answers)",,,,,,,,,,,,,,,,,,
June.2022.18,PRACTICE USING CALCULATOR HW,June.2022,18,,,,,,,K (prgm: QUADRAT),,,,,,,,,,,,,,,,,,
Jun.2016.18,PRACTICE USING CALCULATOR HW,June.2016,18,"18. A family plans to remodel their kitchen. They have a total budget of $45,000 to cover expenses in 6 categories. Not all the budget has been assigned. The budget amounts the have been assigned are shown in the table below. In a circle graph illustrating the 6 budget amounts in the table, what should be the measure of the central angle of the Flooring sector?",F. 24°,G. 32°,H. 40°,J. 45°,K. 72°,H (prgm: SECTORS),,,,,,,,,,,,,,,,,,
July.2020.21,PRACTICE USING CALCULATOR HW,July.2020,21,,,,,,,B (prgm: MIDPOINT),,,,,,,,,,,,,,,,,,
Apr.2021.D05.21,PRACTICE USING CALCULATOR HW,April.2021.D05,21,,,,,,,C (prgm: REMAINDER),,,,,,,,,,,,,,,,,,
Apr.2017.26,PRACTICE USING CALCULATOR HW,April.2017,26,"26. A circle in the standard (x,y) coordinate plane has center C(-1,2) and passes through A(2,6). Line segment (line)AB is a diameter of this circle. What are the coordinates of point B?","(-5, -1)","(-4, -2)","(4, 2)","(5, 10)",,H (prgm: ENDPOINT),,,,,,,,,,,,,,,,,,
Apr.2021.D05.27,PRACTICE USING CALCULATOR HW,April.2021.D05,27,,,,,,,E (prgm: BINOMIAL),,,,,,,,,,,,,,,,,,
Jun.2021.28,PRACTICE USING CALCULATOR HW,June.2021,28,,,,,,,F (prgm: DEGTORAD),,,,,,,,,,,,,,,,,,
Apr.2019.Z15.30,PRACTICE USING CALCULATOR HW,April.2019.Z15,30,,,,,,,"J (plug into calculator, compare decimal answers)",,,,,,,,,,,,,,,,,,
Jun.2018.32,PRACTICE USING CALCULATOR HW,June.2018,32,,,,,,,H (prgm: GEO),,,,,,,,,,,,,,,,,,
Jun.2019.34,PRACTICE USING CALCULATOR HW,June.2019,34,,,,,,,G (prgm: DISTANCE),,,,,,,,,,,,,,,,,,
